,channelId,channelTitle,playlistId,title,publishedAt,description,itemCount
24,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZz18tIdE7HGQxWPgKhMYf8E,FENÓMENO EL NIÑO 2023,2023-06-19T13:44:35Z,,81
25,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwV8hiXwR61SN_68FxSsDzp,CONSULTORIO LEGAL,2023-05-31T17:41:44Z,La abogada de familia Lorena Fernández nos ayuda a comprender distintos temas legales.,25
26,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxlBNwI45Hj_bWee_lHmIN_,Nuestra Tierra,2023-05-29T13:42:30Z,,213
27,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwzC7RxCLQ4EoFCLWLpGXKt,EL OBSERVATORIO DEL CLIMA,2023-04-13T00:00:38Z,,174
28,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzZVO5aJ6DI8jMc-cS1JcAo,LIMA 8.8,2023-04-10T19:56:39Z,,18
29,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxde4j_yRbZYj1SUXHCwAPX,Detector de Mentiras,2023-04-10T12:31:51Z,,25
30,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzwFuCY5AEP8Gy2-BmNxf_4,Shorts,2023-04-04T18:46:39Z,,393
31,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzfcsnPMkuQ3dgHEiBLVMXR,LA ROTATIVA DEL AIRE 2023,2023-03-31T13:59:37Z,Las noticias más importantes del Perú y el mundo.,2404
32,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxCyLEmwelQJWIY3IxVu_EM,TEMA DE FONDO,2023-03-30T14:27:26Z,Tema de fondo es un programa especial de RPP que aborda a profundidad temas de coyuntura nacional e internacional.,39
33,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZya-Vj2fe0cDlPPgH4R8GqA,"Campaña ""Yo muevo al Perú""",2023-03-27T14:53:33Z,,8
34,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyAwfOXMAwEbP4voOe3o5Vl,TEMA DE FONDO : Fenómeno El Niño 2023 – 2024,2023-03-23T17:40:50Z,Fenómeno El Niño 2023 – 2024,12
35,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZx5jPy_c6tiA2uDUF9REPPV,Bienestar en RPP,2023-02-23T22:07:14Z,,177
36,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzyraVNiJeTHOS-moEpFYD2,HUMOR POLÍTICO CON HERNAN VIDAURRE,2023-02-23T16:56:22Z,,116
37,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyNby7u8DYl-XXWV8ickOt_,EXTRADICIÓN ALEJANDRO TOLEDO,2023-02-23T00:32:54Z,,81
38,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxLcDtuE2h3tYw4SStKwa0t,REGRESO A CLASES 2023,2023-02-21T19:43:17Z,,33
39,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzai399ESmAslCJYsqI2W4l,SIN VUELTAS,2023-02-14T02:38:54Z,,417
40,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxMtTT1Oj2FOWjTgYXwKx0D,TIEMPO REAL,2023-02-13T21:37:40Z,,583
41,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzys8HAFajvCeoHITrDQ4sv,Mucha Moda,2023-02-07T20:02:28Z,,65
