,channelId,channelTitle,playlistId,title,publishedAt,description,itemCount
166,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwpKUM_TNLCw4tsHjIa2zvi,CORONAVIRUS EN EL MUNDO,2020-05-11T23:42:35Z,,21
167,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZw2sSGhW60YX_QUDm1aHtLX,TODO SOBRE EL CORONAVIRUS,2020-04-02T19:10:46Z,Toda las entrevistas y recomendaciones que se generan en RPP Noticias sobre la COVID-19 y sus variantes la podrás encontrar en este lugar.,4525
169,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZw2YqVGkrBuVik-YxGGnSnC,DW,2020-01-22T19:04:47Z,,88
174,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZz3O9FYU_5f_-w1aIBQf0Vs,LAS CLAVES DEL DÍA,2019-12-13T03:20:43Z,Con Valerie Vásquez de Velasco,332
179,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzJAT8SSMSauh0OFnZ-k3qY,LA ROTATIVA DEL AIRE,2019-11-26T14:55:37Z,Las noticias más importantes del Perú y el mundo.,4995
180,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxFFszXWElySiAeon5KDCsr,ENCENDIDOS,2019-11-26T14:12:26Z,"Te contamos noticias de actualidad, salud, deportes y entretenimiento.",3762
181,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwLSzLKy8oH4pHGuTXHhbtx,CENTRAL DE INFORMACIONES,2019-11-26T14:11:35Z,,1173
188,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyV7AxmsQE9y5eUgVDJuiNM,ENFOQUE DE LOS SÁBADOS,2019-07-15T11:32:56Z,,445
190,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyCJcLfNbV55j34nOuM1x-q,TODO ESTÁ DICHO,2019-07-09T14:56:26Z,,3
193,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxUT3LQW73MDQkwPsCUaEaN,Radio Capital,2019-03-08T17:00:53Z,,2
197,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxr8tvi8VN9wPxRLuST9TMX,TODO EMPIEZA AQUÍ,2018-09-10T15:27:09Z,,13
200,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZw0x0VBt7Xy9PpxdgnFGdVu,AMPLIACIÓN DE NOTICIAS,2018-05-16T14:59:55Z,"La noticia en voz de los protagonistas. Con Fernando Carvallo, Mabel Huertas y Carlos Villarreal.",4994
204,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyqML4CnrOj1fulckYnOtGm,¿QUIÉN TIENE LA RAZÓN?,2018-03-06T22:22:26Z,,799
205,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxi9wUwruoMTlvIrtOU5prq,NADA ESTÁ DICHO,2018-03-06T22:17:55Z,Conversamos con los personajes que marcan la agenda nacional.,2644
