"channel","publish_date","Program","title","views","comments","likes","dislikes"
"Willax Televisión",2021-02-26,"Combutters","UN INFORME A MEDIAS - FEB 25 - 1/4 | Willax",32606,109,639,0
"Willax Televisión",2021-03-03,"Beto a Saber ","LA RULETA RUSA DE SAGASTI - MAR 02 - 1/4 | Willax",155371,1220,3909,0
"Willax Televisión",2021-03-04,"Beto a Saber ","EL ESCÁNDALO DE PFIZER - MAR 03 - 1/4 | Willax",282752,1986,4561,0
"PBO",2021-03-06,"PBO","Beto Ortiz reveló que vacuna contra COVID de Sinopharm que Perú compró tiene bajo nivel de eficacia",24665,356,385,0
"Willax Televisión",2021-03-06,"Beto a Saber ","LA VACUNA RUSA - MAR 05 - 1/4 | Willax",199737,1966,4269,0
"Willax Televisión",2021-03-06,"Beto a Saber ","RESULTADO DEL ESTUDIO CLÍNICO - MAR 05 - 2/4 | Willax",146713,1300,2524,0
"Willax Televisión",2021-03-06,"Beto a Saber ","¿Y LA SEGUNDA LISTA DE VACUNADOS? - MAR 05 - 3/4 | Willax",63115,309,1309,0
"Willax Televisión",2021-03-09,"Milagros Leiva Entrevista ","LA EFICACIA DE LA VACUNA DE SINOPHARM - MAR 08 - 1/4 | Willax",14423,129,359,0
"Willax Televisión",2021-03-09,"Milagros Leiva Entrevista ","¿SIRVE O NO SIRVE LA VACUNA DE SINOPHARM? - MAR 08 - 2/4 | Willax",16024,146,375,0
"Willax Televisión",2021-03-09,"Milagros Leiva Entrevista","Milagros LeivaEntrevista-VACUNA SINOPHARM: MÁS DUDAS QUE CERTEZAS SOBRE SU EFICACIA-MAR08-3/4|Willax",13752,141,369,0
"Willax Televisión",2021-03-09,"Beto a Saber ","""EL ESTUDIO DEBIÓ HACERSE PREVIO A LA COMPRA"" - MAR 08 - 1/4 | Willax",158916,1988,4551,0
"Willax Televisión",2021-03-10,"Milagros Leiva Entrevista ","LA BRILLANTE COMUNICACIÓN DEL GOBIERNO - MAR 09 - 1/4 | Willax",24783,174,520,0
"Willax Televisión",2021-03-10,"Beto a Saber ","VACUNAGATE: LA TERCERA DOSIS - MAR 09 - 1/4 | Willax",111714,924,2789,0
"Willax Televisión",2021-03-10,"Beto a Saber ","EFICACIA VS. PRECIO - MAR 09 - 2/4 | Willax",74903,510,1644,0
"Willax Televisión",2021-03-11,"Milagros Leiva Entrevista ","MINSA OFRECE VACUNAS COMO CANCHA - MAR 10 - 1/4 | Willax",20194,58,414,0
"Willax Televisión",2021-03-11,"Beto a Saber ","JUGADA DE LABORATORIO - MAR 10 - 1/4 | Willax",153119,1149,4058,0
"Willax Televisión",2021-03-16,"Milagros Leiva Entrevista ","A UN AÑO DE LA PRIMERA CUARENTENA - MAR 15 - 2/4 | Willax",10796,34,228,0
"Willax Televisión",2021-03-16,"Milagros Leiva Entrevista","Milagros Leiva Entrevista-¿CUÁNTO CAMBIÓ NUESTRA VIDA DESDE LA PRIMERA CUARENTENA?-MAR 15-3/4|Willax",16489,83,310,0
"Willax Televisión",2021-04-06,"Beto a Saber ","ABR 05 - 1/4 - CUENTO CHINO, PÁGINA 22 | Willax",148413,772,2447,0
"Willax Televisión",2021-04-07,"Beto a Saber ","ABR 06 - 1/4 - LA PANACA DE LESCANO | Willax",82421,657,1811,0
